Tag,Description,Type,Area,Category,SAP MAPPING ,Upper Limit,Low Limit
PC.PMO.DULG-DP-B.DCS.B_FUELGAS:B_TT5621.PNT,FUEL GAS TEMP IND TO FSO,Process,Fuel Gas,TEMPERATURE," DLIB-F562-PK,",80,60
PC.PMO.DULG-DP-B.DCS.B_FUELGAS:B_TT6111.MEAS,HX-611 INLET TEMP IND,Process,Fuel Gas,TEMPERATURE,DLIB-PK611,80,60
PC.PMO.DULG-DP-B.DCS.B_FUELGAS:B_TT6111.PNT,HX-611 INLET TEMP IND,Process,Fuel Gas,TEMPERATURE,DLIB-PK611,80,60
PC.PMO.DULG-DP-B.DCS.FUEL_GAS:B_TICA6060.MEAS,HX6060 FG SUPERHEATER INLET,Process,Fuel Gas,TEMPERATURE,DLIB-HX6060-PK,50,34
PC.PMO.DULG-DP-B.DCS.FUEL_GAS:B_TT6060A.MEAS,,Process,Fuel Gas,TEMPERATURE,DLIB-HX6060-PK,50,34
PC.PMO.DULG-DP-B.DCS.FUEL_GAS:B_TT6060B.MEAS,,Process,Fuel Gas,TEMPERATURE,DLIB-HX6060-PK,50,34
PC.PMO.DULG-DP-B.DCS.FUEL_GAS:TT6060A.PNT,HX6060 FG SUPERHEATER INLET,Process,Fuel Gas,TEMPERATURE,DLIB-HX6060-PK,50,34
PC.PMO.DULG-DP-B.DCS.FUEL_GAS:TT6060B.PNT,HX6060 FG OUT TO LP GAS COMP,Process,Fuel Gas,TEMPERATURE,DLIB-HX6060-PK,50,34
PC.PMO.DULG-DP-B.DCS.MEMBRANE:B_QT6090.MEAS,,Process,Fuel Gas,TEMPERATURE,DLIB-V6070-PK,55,45
PC.PMO.DULG-DP-B.DCS.MEMBRANE:B_TIC6061.MEAS,A6070 CO2 REMV,Process,Fuel Gas,TEMPERATURE,DLIB-PK611,63,38
PC.PMO.DULG-DP-B.DCS.MEMBRANE:B_TT6061.MEAS,,Process,Fuel Gas,TEMPERATURE,DLIB-PK611,63,38
PC.PMO.DULG-DP-B.DCS.MEMBRANE:TT6061.PNT,A6070 CO2 REMV,Process,Fuel Gas,TEMPERATURE,DLIB-PK611,63,38
PC.PMO.DULG-DP-B.DCS.PRE_TREAT:B_TT6070.MEAS,,Process,Fuel Gas,TEMPERATURE,DLIB-V6070-PK,45,31
PC.PMO.DULG-DP-B.DCS.PRE_TREAT:TT6070.PNT,A6070 CO2 REMV FUEL GAS INLET,Process,Fuel Gas,TEMPERATURE,DLIB-V6070-PK,45,31
PC.PMO.DULG-DP-B.DCS.B_GLYCOL:B_TICA5750.MEAS,HX-575 RBOILR STCKUP TEMP IND,Process,Glycol,TEMPERATURE,DLIB-DEHY,115,99
PC.PMO.DULG-DP-B.DCS.B_GLYCOL:B_TICA5751.MEAS,HX-5751 REBOILER  TEMP IND,Process,Glycol,TEMPERATURE,DLIB-DEHY,204,150
PC.PMO.DULG-DP-B.DCS.B_GLYCOL:B_TT5750.MEAS,HX-575 RBOILR STCKUP TEMP IND,Process,Glycol,TEMPERATURE,DLIB-DEHY,115,99
PC.PMO.DULG-DP-B.DCS.B_GLYCOL:B_TT5750.PNT,HX-575 RBOILR STCKUP TEMP IND,Process,Glycol,TEMPERATURE,DLIB-DEHY,115,99
PC.PMO.DULG-DP-B.DCS.B_GLYCOL:B_TT5751.MEAS,HX 5751 REBOILER  TEMP IND,Process,Glycol,TEMPERATURE,DLIB-DEHY,204,150
PC.PMO.DULG-DP-B.DCS.B_GLYCOL:B_TT5751.PNT,HX 5751 REBOILER  TEMP IND,Process,Glycol,TEMPERATURE,DLIB-DEHY,204,150
PC.PMO.DULG-DP-B.DCS.GAS_COND:B_TT5431.PNT,TT FOR ALARMING,System/Equipment,GCM1,TEMPERATURE,DLIB-PK543,90,70
PC.PMO.DULG-DP-B.DCS.GAS_COND:B_TT5531.PNT,TT FOR ALARMING,System/Equipment,GCM1,TEMPERATURE,DLIB-PK543,90,70
PC.PMO.DULG-DP-B.DCS.CGCE_TCP_AI:TE6060.MEAS,,System/Equipment,CGCE,TEMPERATURE,DLIB-GT2420-PK,50,34
PC.PMO.DULG-DP-B.DCS.CGCE_TCP_AI:TE6061.MEAS,,System/Equipment,CGCE,TEMPERATURE,DLIB-GT2420-PK,63,38
