Tag,Description,Type,Area,Category,SAP MAPPING ,Upper Limit,Low Limit
PC.PMO.DULG-DP-B.DCS.B_HP_SEP_ABC:B_PT5040.PNT,V-504 PRESS IND,Process,HP Separation,PRESSURE,DLIB-A504-PK,1400,660
PC.PMO.DULG-DP-B.DCS.B_HP_SEP_D:B_PICA5200.MEAS,V-520 PRESS IND,Process,HP Separation,PRESSURE,DLIB-A520-PK,450,200
PC.PMO.DULG-DP-B.DCS.B_HP_SEP_D:B_PT5200.MEAS,V-520 PRESS IND,Process,HP Separation,PRESSURE,DLIB-A520-PK,450,200
PC.PMO.DULG-DP-B.DCS.B_HP_SEP_D:B_PT5200.PNT,V-520 PRESS IND,Process,HP Separation,PRESSURE,DLIB-A520-PK,450,200
PC.PMO.DULG-DP-B.DCS.B_FUELGAS:B_PICA5621.MEAS,FUEL GAS INL PRESS LAUNCH TO FSO,Process,Fuel Gas,PRESSURE," DLIB-F562-PK,",1430,700
PC.PMO.DULG-DP-B.DCS.B_FUELGAS:B_PICA6100.MEAS,V-610 PRESS IND,Process,Fuel Gas,PRESSURE,DLIB-PK611,5500,3000
PC.PMO.DULG-DP-B.DCS.B_FUELGAS:B_PICA6120.MEAS,HX-611 2ND STAGE  PRESS IND,Process,Fuel Gas,PRESSURE,(DLIB-F612-PK,1860,900
PC.PMO.DULG-DP-B.DCS.B_FUELGAS:B_PT5620.MEAS,HX-562 INLET      PRESS,Process,Fuel Gas,PRESSURE," DLIB-F562-PK,",4060,3320
PC.PMO.DULG-DP-B.DCS.B_FUELGAS:B_PT5620.PNT,HX-562 INLET      PRESS,Process,Fuel Gas,PRESSURE," DLIB-F562-PK,",4060,3320
PC.PMO.DULG-DP-B.DCS.B_FUELGAS:B_PT5621.MEAS,FUEL GAS INL PRESS LAUNCH TO FSO,Process,Fuel Gas,PRESSURE," DLIB-F562-PK,",1430,700
PC.PMO.DULG-DP-B.DCS.B_FUELGAS:B_PT5621.PNT,FUEL GAS INL PRESS LAUNCH TO FSO,Process,Fuel Gas,PRESSURE," DLIB-F562-PK,",1430,700
PC.PMO.DULG-DP-B.DCS.B_FUELGAS:B_PT5623.MEAS,V-610 INLET PRESS,Process,Fuel Gas,PRESSURE," DLIB-F562-PK,",1300,400
PC.PMO.DULG-DP-B.DCS.B_FUELGAS:B_PT5623.PNT,V-610 INLET PRESS,Process,Fuel Gas,PRESSURE," DLIB-F562-PK,",1300,400
PC.PMO.DULG-DP-B.DCS.B_FUELGAS:B_PT5630.MEAS,L-563 PRESS IND,Process,Fuel Gas,PRESSURE, DLIB-F562-PK,1610,600
PC.PMO.DULG-DP-B.DCS.B_FUELGAS:B_PT5630.PNT,L-563 PRESS IND,Process,Fuel Gas,PRESSURE, DLIB-F562-PK,1610,600
PC.PMO.DULG-DP-B.DCS.B_FUELGAS:B_PT6100.MEAS,V610 FUEL GAS SEP PRESS,Process,Fuel Gas,PRESSURE,DLIB-PK611,5500,3000
PC.PMO.DULG-DP-B.DCS.B_FUELGAS:B_PT6100.PNT,V610 FUEL GAS SEP PRESS,Process,Fuel Gas,PRESSURE,DLIB-PK611,5500,3000
PC.PMO.DULG-DP-B.DCS.B_FUELGAS:B_PT6120.MEAS,HX-611 2ND STAGE  PRESS IND,Process,Fuel Gas,PRESSURE,(DLIB-F612-PK,1860,900
PC.PMO.DULG-DP-B.DCS.B_FUELGAS:B_PT6120.PNT,HX-611 2ND STAGE  PRESS IND,Process,Fuel Gas,PRESSURE,(DLIB-F612-PK,1860,900
PC.PMO.DULG-DP-B.DCS.FUEL_GAS:B_PIC6030.MEAS,V6030 FG SCRUBBER TO FLTR COALS,Process,Fuel Gas,PRESSURE,DLIB-V6030-PK,4000,3500
PC.PMO.DULG-DP-B.DCS.FUEL_GAS:B_PT6030.MEAS,,Process,Fuel Gas,PRESSURE,DLIB-V6030-PK,4000,3500
