Tag,Values
PC.PMO.DLB.TCP.GCM2.CD553.AN_LPC_Inboard_Thr_Brg_Temp,0.3059424088145549
PC.PMO.DLB.TCP.CGCE.CD563.AN_Gbx_HSS_BE_Y_Gap,0.30502904008201914
PC.PMO.DLB.TCP.GCM2.CD553.AN_LPC_Outboard_Thr_Brg_Temp,0.3042783984788656
PC.PMO.DLB.TCP.GCM2.CD553.AN_Gas_Fuel_Control_Temp,0.30374331451702724
PC.PMO.DLB.TCP.GCM2.CD553.AN_LPC_Brg_Fwd_Y_Vib,0.30364975335139827
PC.PMO.DLB.TCP.GCM2.CD553.AN_HPC_Brg_Aft_X_Gap,0.30306345905480336
PC.PMO.DLB.TCP.GCM2.CD553.AN_IPC_Inboard_Thr_Brg_Temp,0.3025546153292348
PC.PMO.DLB.TCP.GCM2.CD553.AN_IPC_Suc_Drain_Temp,0.3013680915285534
PC.PMO.DLB.TCP.GCM2.CD553.AN_Engine_Fired_Hours,0.30046056936269355
PC.PMO.DLB.TCP.GCM2.CD553.AN_IPC_Discharge_Temp,0.29988551501542726
PC.PMO.DLB.TCP.GCM2.CD553.AN_HPC_Outboard_Thr_Brg_Temp,0.2998682399417767
PC.PMO.DLB.TCP.GCM2.CD553.AN_IPC_Dis_Drain_Temp,0.2996656659074747
PC.PMO.DLB.TCP.GCM2.CD553.AN_HPC_Inboard_Thr_Brg_Temp,0.2995365627158017
PC.PMO.DLB.TCP.GCM1.CD543.AN_T1_Temperature,0.2992673448905626
PC.PMO.DLB.TCP.GCM2.CD553.AN_HPC_Dis_Drain_Temp,0.2986441316200969
PC.PMO.DLB.TCP.GCM2.CD553.AN_LPC_Suction_Press,0.29851521463220637
PC.PMO.DLB.TCP.GCM2.CD553.AN_Lube_Oil_Tank_Temp,0.29784503690295155
PC.PMO.DLB.TCP.GCM2.CD553.AN_LPC_Suc_Drain_Temp,0.29776940516654615
PC.PMO.DLB.TCP.GCM2.CD553.AP_HPC_Delta_Spd,0.2974973085979564
PC.PMO.DLB.TCP.GCM2.CD553.AN_Lube_Oil_Header_Temp,0.29743679970077774
PC.PMO.DLB.TCP.GCM2.CD553.AN_HPC_Brg_Fwd_Y_Gap,0.2972576029390527
PC.PMO.DLB.TCP.GCM2.CD553.AN_LPC_Dis_Drain_Temp,0.29722246023586973
PC.PMO.DLB.TCP.GCM2.CD553.AN_IPC_Outboard_Thr_Brg_Temp,0.29717427154968384
PC.PMO.DLB.TCP.GCM2.CD553.AN_Gas_Fuel_Total,0.2967465953431285
PC.PMO.DLB.TCP.GCM1.CD543.AN_ZX399_112_Gas_LEL,0.29669893035320655
PC.PMO.DLB.TCP.GCM2.CD553.AN_LPC_Brg_Fwd_X_Gap,0.29511030962801854
PC.PMO.DLB.TCP.GCM2.CD553.AN_Eng_Brg_4_5_Drn_Temp,0.29461740387885804
PC.PMO.DLB.TCP.CGCE.CD563.AN_Gbx_LSS_BE_Y_Gap,0.2943971646106471
PC.PMO.DLB.TCP.GCM1.CD543.AN_HPC_Suc_Sept_Seal_Flow,0.294386004415284
PC.PMO.DLB.TCP.CGCE.CD563.AN_DC_Supply_Voltage,0.2940741292995586
PC.PMO.DLB.TCP.GCM2.CD553.AN_Gas_Fuel_Control_Press,0.29397772889581764
PC.PMO.DLB.TCP.GCM2.CD553.AN_Eng_Brg_1_Drn_Temp,0.29368961946471484
PC.PMO.DLB.TCP.GCM2.CD553.AN_LPC_Brg_Aft_Y_Vib,0.29339102711153187
PC.PMO.DLB.TCP.GCM2.CD553.AN_Gas_Fuel_Press,0.29265818097484303
PC.PMO.DLB.TCP.GCM2.CD553.AN_LPC_Discharge_Press,0.29135729043403746
PC.PMO.DLB.TCP.GCM2.CD553.AN_Eng_Brg_2_3_Drn_Temp,0.2912421938880214
PC.PMO.DLB.TCP.GCM2.CD553.AN_IPC_Brg_Fwd_Y_Vib,0.29056001760878947
PC.PMO.DLB.TCP.GCM2.CD553.AN_IPC_Suction_Press,0.2899110610490468
PC.PMO.DLB.TCP.GCM2.CD553.AP_LPC_Flow_Act,0.2895740754142477
PC.PMO.DLB.TCP.GCM2.CD553.AN_LPC_Seal_Gas_Filter_DP,0.28873579289981344
PC.PMO.DLB.TCP.GCM2.CD553.AN_Post_Lube_Time_Remaining,0.28867358422091405
PC.PMO.DLB.TCP.GCM2.CD553.AN_LPC_Brg_Aft_X_Vib,0.28773705570667685
PC.PMO.DLB.TCP.GCM2.CD553.AN_HPC_Brg_Fwd_Y_Vib,0.2875676481531012
PC.PMO.DLB.TCP.GCM2.CD553.AN_LPC_Flow_Std_HMI,0.28734716244459196
PC.PMO.DLB.TCP.GCM2.CD553.AP_LPC_Head,0.28681904868552177
PC.PMO.DLB.TCP.GCM2.CD553.AP_LPC_Flow_Std,0.2867903696255431
PC.PMO.DLB.TCP.GCM2.CD553.AN_LPC_ASC_Flow,0.28648275979307214
PC.PMO.DLB.TCP.GCM2.CD553.AN_Cpsr_Press_Hold_Time_Rem,0.28643770673550184
PC.PMO.DLB.TCP.GCM2.CD553.AP_LPC_Spd_Nom,0.286004219944108
PC.PMO.DLB.TCP.GCM2.CD553.AN_IPC_ASC_Speed_Flow,0.2859688929358504
PC.PMO.DLB.TCP.GCM2.CD553.AP_IPC_Flow_Act,0.2858164074550548
PC.PMO.DLB.TCP.GCM2.CD553.AN_HPC_Discharge_Temp,0.2850914715807614
PC.PMO.DLB.TCP.GCM2.CD553.AN_T5_TC1,0.2841322698334341
PC.PMO.DLB.TCP.GCM2.CD553.AN_T5_TC6,0.2835451419753473
